itemId,characterId,alphaMasterPath,oldHevcUrl,newAvconvertUrl,sha256,size,generatedAt,httpStatus,contentType,realDeviceVerified,status
rabbit-angry,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_03_angry_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/03-rabbit-angry/delivery/rabbit_03_angry_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/03-rabbit-angry/delivery/rabbit_03_angry_alpha_hevc_avconvert_r1.mov,06b880231bd2df01120f6e5faf85318071bc175d95461b40719eb5b711f955ce,2968150,2026-09-18T08:27:57Z,200,video/quicktime,false,uploaded
rabbit-apology,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_12_apology_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/12-rabbit-apology/delivery/rabbit_12_apology_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/12-rabbit-apology/delivery/rabbit_12_apology_alpha_hevc_avconvert_r1.mov,1a8af0ee14f5b7b6f7318f0335fdc522fedf3a5d900199eadbdaed9a375396db,3359927,2026-09-18T08:28:04Z,200,video/quicktime,false,uploaded
rabbit-confused,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_09_confused_alpha_localmotion_test_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/09-rabbit-confused/delivery/rabbit_09_confused_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/09-rabbit-confused/delivery/rabbit_09_confused_alpha_hevc_avconvert_r1.mov,7fd447ecf68ec753ae1167b08bdce221b99e631735f8843f0a4e1fd4c1b22f9e,1376195,2026-09-18T08:28:11Z,200,video/quicktime,false,uploaded
rabbit-cool,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_14_cool_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/14-rabbit-cool/delivery/rabbit_14_cool_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/14-rabbit-cool/delivery/rabbit_14_cool_alpha_hevc_avconvert_r1.mov,3854e80dd62f4cae9859e5c3a2dc872371c842671657c73200fd81452d4975d8,3343304,2026-09-18T08:28:19Z,200,video/quicktime,false,uploaded
rabbit-disgust,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_10_disgust_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/10-rabbit-disgust/delivery/rabbit_10_disgust_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/10-rabbit-disgust/delivery/rabbit_10_disgust_alpha_hevc_avconvert_r1.mov,3bf1ae2bc440ddefb9b82671ffb8dab68b013659423330a6e45c7c4b13bd49a3,2967723,2026-09-18T08:28:27Z,200,video/quicktime,false,uploaded
rabbit-gloat,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_15_gloat_alpha_localmotion_test_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/15-rabbit-gloat/delivery/rabbit_15_gloat_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/15-rabbit-gloat/delivery/rabbit_15_gloat_alpha_hevc_avconvert_r1.mov,ee5bc03282a86dd78eb5b6f65a93b41fe2a5ddfcd89f952e8778e4e5ce2ce24d,1460648,2026-09-18T08:28:33Z,200,video/quicktime,false,uploaded
rabbit-happy,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_01_happy_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/01-rabbit-happy/delivery/rabbit_01_happy_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/01-rabbit-happy/delivery/rabbit_01_happy_alpha_hevc_avconvert_r1.mov,c0d8078b333e1945177a0c391004ed5ad02064cb43f1e228d6aa6c2006c70aa2,3961167,2026-09-18T08:28:44Z,200,video/quicktime,false,uploaded
rabbit-jealous,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_06_jealous_alpha_localmotion_test_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/06-rabbit-jealous/delivery/rabbit_06_jealous_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/06-rabbit-jealous/delivery/rabbit_06_jealous_alpha_hevc_avconvert_r1.mov,d2a3d1abb19bd54e4aa302bfbf183be94d328f17020ceda6635b6a6ad032e2a7,1304854,2026-09-18T08:28:51Z,200,video/quicktime,false,uploaded
rabbit-playful,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_05_playful_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/05-rabbit-playful/delivery/rabbit_05_playful_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/05-rabbit-playful/delivery/rabbit_05_playful_alpha_hevc_avconvert_r1.mov,fa89b9f93b7ab5e6f6111f7b5d044f986282fee945478fa2595504da984ce809,3265552,2026-09-18T08:29:02Z,200,video/quicktime,true,uploaded
rabbit-stubborn,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_07_stubborn_birefnet_alpha_v2.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/07-rabbit-stubborn/delivery/rabbit_07_stubborn_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/07-rabbit-stubborn/delivery/rabbit_07_stubborn_alpha_hevc_avconvert_r1.mov,146bd235f55242b32f4edfd142d2292b17d3679f10e0990fc4bb2f5e1b517d56,3196547,2026-09-18T08:29:14Z,200,video/quicktime,false,uploaded
rabbit-surprise,fengxin-rabbit,/Users/liangminghua/Desktop/rabbit_15_firstframes_v1/rabbit_08_surprise_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/08-rabbit-surprise/delivery/rabbit_08_surprise_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/fengxin-rabbit/08-rabbit-surprise/delivery/rabbit_08_surprise_alpha_hevc_avconvert_r1.mov,4771d9c0ae633deb098dbecc4903cc2a8680624d7c6f27e7ca3ebb073e0cae33,3282699,2026-09-18T08:29:25Z,200,video/quicktime,false,uploaded
fox-black-playful,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_black_playful_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/04-fox-black-playful/delivery/fox_black_playful_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/04-fox-black-playful/delivery/fox_black_playful_alpha_hevc_avconvert_r1.mov,3c965e6006dbd0d9c13220dd754af49764fde8e84b79c3f016a8bb01a30cda07,3356016,2026-09-18T08:29:34Z,200,video/quicktime,false,uploaded
fox-defiant,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_defiant_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/07-fox-defiant/delivery/fox_defiant_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/07-fox-defiant/delivery/fox_defiant_alpha_hevc_avconvert_r1.mov,a98bfec06633d3de0bf5c0107470f25694b55751bcd44c943125f70dfc6f7e88,3256300,2026-09-18T08:29:44Z,200,video/quicktime,false,uploaded
fox-giveup,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_giveup_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/08-fox-giveup/delivery/fox_giveup_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/08-fox-giveup/delivery/fox_giveup_alpha_hevc_avconvert_r1.mov,1928bba6cb2e1ed02043c62fc3e23c3db622ef097444bd6b11f7433940385d00,3228305,2026-09-18T08:29:54Z,200,video/quicktime,false,uploaded
fox-navy-angry,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_navy_angry_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/02-fox-navy-angry/delivery/fox_navy_angry_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/02-fox-navy-angry/delivery/fox_navy_angry_alpha_hevc_avconvert_r1.mov,b7f718b7346328abc70f0e20f8e177e757ff93577cbf5e4ccef900bd7ecd4c78,3800646,2026-09-18T08:30:01Z,200,video/quicktime,false,uploaded
fox-pink-coquettish,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_pink_coquettish_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/03-fox-pink-coquettish/delivery/fox_pink_coquettish_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/03-fox-pink-coquettish/delivery/fox_pink_coquettish_alpha_hevc_avconvert_r1.mov,5ceb3bb827f414b94bf8ea111a9c0108aa9e8eb43f6d2ddfa70f32335789d6fd,3892898,2026-09-18T08:30:14Z,200,video/quicktime,true,uploaded
fox-red-happy,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_red_happy_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/05-fox-red-happy/delivery/fox_red_happy_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/05-fox-red-happy/delivery/fox_red_happy_alpha_hevc_avconvert_r1.mov,14348f5159780706fc9490718c9b322f1e4e521ae99d080d8923a7ae241a4f3a,4006490,2026-09-18T08:30:25Z,200,video/quicktime,false,uploaded
fox-teal-surprised,xinguang-fox,/Users/liangminghua/Desktop/seedance20_fox_emotion_batch_H01/情绪首帧测试/fox_teal_surprised_birefnet_alpha_v1.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/06-fox-teal-surprised/delivery/fox_teal_surprised_alpha_hevc.mov,https://pub-baeb836de8654e238577516dce76dea3.r2.dev/seven-stars/xinguang-fox/06-fox-teal-surprised/delivery/fox_teal_surprised_alpha_hevc_avconvert_r1.mov,1ba5d50eae4137c3fe78dd171602c911affa89cf01f0b7b78708c96f144be3b6,3825494,2026-09-18T08:30:41Z,200,video/quicktime,false,uploaded
